food_name,protein_g,carbs_g,fat_g,calories
Toasted Plain Waffles,7.19,49.29,9.61,312
Seafood Souffle,10.62,5.56,9.74,154
Puff Pastry,7.4,45.7,38.5,558
Nonfat Frozen Yogurt,3.75,21.91,0.41,103
Ice Cream,3.92,29.26,10.14,218
Chocolate Frozen Yogurt,5.24,21.61,1.95,113
Chocolate Ice Cream Cone,4.07,31.76,9.52,222
Chocolate Puddings,2.7,23,4,139
Vanilla Wafers,5,73.6,15.2,441
Apple Pie,2.4,37.1,12.5,265
Milk Chocolate Candies,7.65,59.4,29.66,535
Ice Pop,0,19.23,0.24,79
Banana Puddings,2.4,21.2,3.6,127
Sweet Roll,6.2,50.9,16.4,372
Lemon juice,0,32,0,130
Ice Cream Sundae Cone,5.55,29.96,15.06,265
Custard,5.07,10.85,3.5,95
Chocolate Ice Creams,3.8,28.2,11,216
Vanilla Wafers,4.3,71.1,19.4,473
Hard Cands,0,98,0.2,394
Plain Muffin,7.63,43.77,10.87,305
Yogurt,3,21.6,3.6,127
Jellybeans,0,93.55,0.05,375
Brownie,4.76,62.54,13.77,379
Ice Pop Filled with Ice Cream,1.16,20.67,3.79,119
Buttermilk Pancakes,6.8,28.7,9.3,227
Chocolate Cheesecake,6.6,38.44,24.75,389
Chocolate Coated or Frosted Doughnuts,5,48,31,474
Pecan Pie,4.9,52.2,22.2,412
Jelly Doughnut,5.9,39,18.7,340
Mango juice,0,25,0,100
Diet Cheesecake,5.74,30.15,9.16,224
Cheesecake,5.5,25.5,22.5,321
Pancakes,5.2,36.7,2.5,194
Cupcakes with Frosting (Low Fat),4.3,67.2,3.7,305
Chocolate Cupcake,3.79,63.59,11.7,356
Sweet Chocolate Candies,3.9,59.6,34.2,505
Bread Pudding,5.27,23.26,4.74,153
Chocolate Wafers,6.6,72.4,14.2,433
Brownie with Icing,4.8,63.9,16.3,405
73% Organic Dark Chocolate,3,15,14,190
Chocolate Soft Serve Ice Cream,3.7,27.87,9.67,205
Cream Wafers,4.1,70.1,24.3,511
Plain Waffle,7.3,48.84,9.55,310
Plain Pancakes,6.4,28.3,9.7,227
Shortbread Cookies,6.1,64.5,24.1,502
Brownie with Peanut Butter Fudge Icing,7.47,59.44,16.98,409
Vanilla Ice Creams,3.5,23.6,11,201
Strawberry Ice Creams,3.2,27.6,8.4,192
Potato Pancakes,6.06,27.9,14.75,269
Cheesecake with Fruit,6.25,32.9,13.45,273
100% Whole Wheat or 100% Whole Grain Waffle,9.22,33.33,11.22,267
Fruit Waffle,6.4,44.8,8.24,278
Lowfat Brownie,5.43,70.23,5.38,324
Peanut Butter Cookies,9.6,58.9,23.6,477
Creme or Caramel Filled Chocolate Covered Sugar Wafer,5.2,66.58,25.24,511
Butter Pound Cake,5.5,48.8,19.9,388
Vanilla Puddings,2.3,22,3.6,130
Chocolate Filled Crepe,5.5,20.68,5.54,156
Marshmallows,1.8,81.3,0.2,318
English Muffin,8.87,44.17,1.69,227
Fruit and/or Nuts Muffin,5.5,48,6.5,277
Tapioca Puddings,2,19.4,3.7,119
Cheese and Fruit Strudel,6.89,29.84,8.44,220
Fruit Filled Crepe,4.59,26.57,6.97,184
Dark Chocolate Miniatures,2,22,12,200
Peanut Butter Fudge,7.02,66.72,16.59,435
Chocolate Cake (Without Frosting),5.3,53.4,15.1,358
Light Vanilla Ice Creams (Soft Serve),4.9,21.8,2.6,126
Blueberry Pie,2.7,33.5,11.9,245
Berry Strudel,3.51,46.78,6.21,251
Chicken or Turkey Souffle,12.34,5.53,11.25,175
Candy Coated Marshmallow,1.16,87.99,0.13,343
Sugared or Glazed Chocolate Doughnuts,4.5,57.4,19.9,417
Sugar Cookies (Includes Vanilla),5.1,67.9,21.1,478
Light Vanilla Ice Creams,4.78,25.8,4.83,165
"Cheesecake (From Mix, No-Bake Type)",5.5,35.5,12.7,274
Cupcake,2.84,67.64,10.93,369
Rich Dark Chocolate,2,24,13,210
Ice Cream,3.52,24.4,10.72,201
Chocolate Cake (with Chocolate Frosting),4.1,54.6,16.4,367
White Chocolate Candies,5.87,59.24,32.09,539
Frozen Yogurt,4.7,19.62,1.47,107
Spinach Souffle,7.91,5.82,12.95,171
Cupcake with Icing,2.85,67.8,10.96,370
Cherry Pie,2,39.8,11,260
Caramel Custard Flan (Dry Mix),0,91.6,0,348
Vanilla Fudge,1.05,82.28,5.44,384
